2018-05-10 13:46:23.371 [main] INFO  com.pancm.TopologyApp - 运行本地模式
2018-05-10 13:46:25.653 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2018-05-10 13:46:25.653 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:host.name=HP
2018-05-10 13:46:25.653 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:java.version=1.8.0_31
2018-05-10 13:46:25.653 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:java.vendor=Oracle Corporation
2018-05-10 13:46:25.653 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:java.home=D:\Java\jdk1.8.0_31\jre
2018-05-10 13:46:25.653 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:java.class.path=D:\git\GitHub\kafka-study\kafka-storm\target\classes;D:\MavenRepository\repo\org\slf4j\slf4j-api\1.7.25\slf4j-api-1.7.25.jar;D:\MavenRepository\repo\ch\qos\logback\logback-classic\1.2.3\logback-classic-1.2.3.jar;D:\MavenRepository\repo\ch\qos\logback\logback-core\1.2.3\logback-core-1.2.3.jar;D:\MavenRepository\repo\org\apache\kafka\kafka_2.12\1.0.0\kafka_2.12-1.0.0.jar;D:\MavenRepository\repo\com\fasterxml\jackson\core\jackson-databind\2.9.1\jackson-databind-2.9.1.jar;D:\MavenRepository\repo\com\fasterxml\jackson\core\jackson-annotations\2.9.0\jackson-annotations-2.9.0.jar;D:\MavenRepository\repo\com\fasterxml\jackson\core\jackson-core\2.9.1\jackson-core-2.9.1.jar;D:\MavenRepository\repo\net\sf\jopt-simple\jopt-simple\5.0.4\jopt-simple-5.0.4.jar;D:\MavenRepository\repo\com\yammer\metrics\metrics-core\2.2.0\metrics-core-2.2.0.jar;D:\MavenRepository\repo\org\scala-lang\scala-library\2.12.3\scala-library-2.12.3.jar;D:\MavenRepository\repo\com\101tec\zkclient\0.10\zkclient-0.10.jar;D:\MavenRepository\repo\org\apache\kafka\kafka-clients\1.0.0\kafka-clients-1.0.0.jar;D:\MavenRepository\repo\org\lz4\lz4-java\1.4\lz4-java-1.4.jar;D:\MavenRepository\repo\org\xerial\snappy\snappy-java\1.1.4\snappy-java-1.1.4.jar;D:\MavenRepository\repo\org\apache\kafka\kafka-streams\1.0.0\kafka-streams-1.0.0.jar;D:\MavenRepository\repo\org\apache\kafka\connect-json\1.0.0\connect-json-1.0.0.jar;D:\MavenRepository\repo\org\apache\kafka\connect-api\1.0.0\connect-api-1.0.0.jar;D:\MavenRepository\repo\org\rocksdb\rocksdbjni\5.7.3\rocksdbjni-5.7.3.jar;D:\MavenRepository\repo\org\apache\storm\storm-core\1.2.1\storm-core-1.2.1.jar;D:\MavenRepository\repo\com\esotericsoftware\kryo\3.0.3\kryo-3.0.3.jar;D:\MavenRepository\repo\com\esotericsoftware\reflectasm\1.10.1\reflectasm-1.10.1.jar;D:\MavenRepository\repo\org\ow2\asm\asm\5.0.3\asm-5.0.3.jar;D:\MavenRepository\repo\com\esotericsoftware\minlog\1.3.0\minlog-1.3.0.jar;D:\MavenRepository\repo\org\objenesis\objenesis\2.1\objenesis-2.1.jar;D:\MavenRepository\repo\org\clojure\clojure\1.7.0\clojure-1.7.0.jar;D:\MavenRepository\repo\com\lmax\disruptor\3.3.2\disruptor-3.3.2.jar;D:\MavenRepository\repo\org\apache\logging\log4j\log4j-api\2.8.2\log4j-api-2.8.2.jar;D:\MavenRepository\repo\org\apache\logging\log4j\log4j-core\2.8.2\log4j-core-2.8.2.jar;D:\MavenRepository\repo\org\slf4j\log4j-over-slf4j\1.6.6\log4j-over-slf4j-1.6.6.jar;D:\MavenRepository\repo\io\dropwizard\metrics\metrics-core\3.1.0\metrics-core-3.1.0.jar;D:\MavenRepository\repo\io\dropwizard\metrics\metrics-graphite\3.1.0\metrics-graphite-3.1.0.jar;D:\MavenRepository\repo\io\dropwizard\metrics\metrics-ganglia\3.1.0\metrics-ganglia-3.1.0.jar;D:\MavenRepository\repo\info\ganglia\gmetric4j\gmetric4j\1.0.7\gmetric4j-1.0.7.jar;D:\MavenRepository\repo\javax\servlet\servlet-api\2.5\servlet-api-2.5.jar;D:\MavenRepository\repo\org\apache\storm\storm-kafka\1.2.1\storm-kafka-1.2.1.jar;D:\MavenRepository\repo\commons-io\commons-io\2.5\commons-io-2.5.jar;D:\MavenRepository\repo\org\apache\curator\curator-framework\4.0.0\curator-framework-4.0.0.jar;D:\MavenRepository\repo\org\apache\curator\curator-client\4.0.0\curator-client-4.0.0.jar;D:\MavenRepository\repo\org\apache\zookeeper\zookeeper\3.5.3-beta\zookeeper-3.5.3-beta.jar;D:\MavenRepository\repo\commons-cli\commons-cli\1.2\commons-cli-1.2.jar;D:\MavenRepository\repo\log4j\log4j\1.2.17\log4j-1.2.17.jar;D:\MavenRepository\repo\io\netty\netty\3.10.5.Final\netty-3.10.5.Final.jar;D:\MavenRepository\repo\com\google\guava\guava\20.0\guava-20.0.jar;D:\MavenRepository\repo\commons-lang\commons-lang\2.5\commons-lang-2.5.jar;D:\MavenRepository\repo\com\googlecode\json-simple\json-simple\1.1\json-simple-1.1.jar;D:\MavenRepository\repo\com\alibaba\fastjson\1.2.41\fastjson-1.2.41.jar
2018-05-10 13:46:25.654 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:java.library.path=D:\Java\jdk1.8.0_31\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\ProgramData\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\UCRT\;C:\Program Files\Intel\UCRT\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;D:\Java\jdk1.8\bin;D:\Java\jdk1.8\jre\bin;D:\SVN\bin;D:\maven\apache-maven-3.3.9\bin;D:\Ant\apache-ant-1.9.9\bin;D:\cygwin64\bin;D:\dev\hadoop\bin;D:\Java\spring-1.5.9.RELEASE\bin;;.
2018-05-10 13:46:25.654 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:java.io.tmpdir=C:\Users\ADMINI~1\AppData\Local\Temp\
2018-05-10 13:46:25.654 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:java.compiler=<NA>
2018-05-10 13:46:25.654 [main] INFO  o.a.s.s.o.apache.zookeeper.server.ZooKeeperServer - Server environment:os.name=Windows 7
